"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variável - Valor da produção (Mil Reais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brasil, Grande Região, Unidade da Federação e Microrregião Geográfica",Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce,Total,Batata-doce
Jundiaí (SP),7768,-,2189,-,6466,-,7401,-,9681,-,7631,-,5452,-,7268,-,5085,-,9343,-,7468,-,8277,-,8408,-,7113,-,7248,-,6872,-,10737,-,6743,-,3564,-,3014,-,3038,-
Bragança Paulista (SP),15430,181,15832,184,19466,44,25464,49,24878,52,25134,52,27535,-,27768,50,33150,-,35642,-,33756,-,48613,-,42607,12,55675,18,39874,30,43302,44,67117,43,54133,41,59671,55,60848,63,81911,63
Campos do Jordão (SP),1688,-,1066,-,1437,-,1107,-,1568,-,2030,-,2017,-,2227,-,2619,-,2871,-,2436,-,2586,-,4049,900,3430,900,3011,905,2598,796,2952,811,2470,752,3155,745,2010,210,3114,280
São José dos Campos (SP),14809,-,20098,-,30384,-,35754,-,36684,-,29565,-,30366,-,38674,-,34699,-,14503,-,31334,-,32101,-,26487,-,37099,-,27839,-,27479,-,39080,-,41772,-,46657,-,42551,-,85434,-
Guaratinguetá (SP),5600,111,7493,81,6841,50,11746,51,10391,93,10285,135,10292,50,16304,47,15281,43,15657,43,15808,28,14318,16,35679,20,23939,19,27126,31,28397,25,41763,25,27942,54,27961,54,36677,38,52016,57
Bananal (SP),1140,-,882,-,1353,-,1803,-,1664,-,1974,-,1863,-,1477,-,1894,-,2136,-,1496,-,1976,-,2049,-,3195,-,2390,-,2398,-,2512,-,4316,-,2695,-,1911,-,3505,-
Paraibuna/Paraitinga (SP),9798,-,6335,-,8672,-,14848,-,10594,-,7242,-,7648,-,10313,10,11629,-,11308,-,17961,-,11550,-,8859,-,6932,-,6874,66,7169,50,10810,-,11643,12,7267,-,9032,-,10018,-
Caraguatatuba (SP),150,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14,-,361,-,...,...,170,-,821,-,4492,-,2327,-,1397,-,256,-
Registro (SP),2987,-,1789,-,2816,-,1806,-,2789,-,1529,-,1272,-,1675,-,3398,-,3827,-,5439,-,5923,-,10962,-,8135,-,7261,-,10637,-,19987,112,21339,248,19697,267,20951,262,24737,269
Itanhaém (SP),982,-,8,-,25,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,916,-,975,-,3941,18,1833,-,1971,150,4178,38,2492,120,2959,135,2527,-
Osasco (SP),34,-,79,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,...,...,...,...,...,...,...,...,7,3,4,-,5,-
Franco da Rocha (SP),545,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,216,-,320,-,97,-,70,-,82,-
Guarulhos (SP),391,-,74,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,58,-,28,-,576,-,1450,-,792,-,300,-,324,-,225,-,258,-,319,-,319,-,145,-
Itapecerica da Serra (SP),1015,2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,135,-,...,...,-,-,255,-,255,-,202,-
São Paulo (SP),5085,35,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,116,-,140,-,210,-,189,-,160,-,379,-,402,-
Mogi das Cruzes (SP),19304,397,7576,397,8233,481,17008,683,13354,546,8410,546,9811,705,5069,854,10634,1024,11729,340,10921,272,11594,224,19789,235,24486,261,27378,259,30523,549,36098,530,35467,516,29212,237,21631,386,25587,353
Santos (SP),2,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,...,...,...,...,...,...,...,...,...,...,60,-,...,...,...,...,7,-,7,-,...,...
Paranavaí (PR),149215,11,134325,3,177116,2,347750,4,452826,31,295237,26,386485,17,422595,5,540155,22,684867,23,738514,57,798716,59,786649,186,1039073,92,976277,579,911307,700,1202543,798,1452866,909,1305240,1505,1222690,358,1520647,-
Umuarama (PR),118199,203,129246,-,167802,131,366584,225,429576,28,342991,-,324396,-,457573,4,531510,-,458171,-,668856,23,702468,-,821216,-,981428,-,1045239,-,1000639,65,1409184,113,1348226,160,1643965,-,1290593,-,1795665,1717
Cianorte (PR),127972,38,137580,8,137903,3,266892,6,314951,-,241621,-,280697,-,359836,7,362975,8,390305,-,450712,75,508791,90,552009,59,711793,60,657332,-,740303,72,799349,215,833541,343,865314,486,883702,465,1093642,494
Goioerê (PR),218190,56,287864,-,425328,-,698360,-,654889,-,470796,-,505166,-,545981,-,1007111,-,782197,33,742707,0,927757,228,1024696,40,1239409,-,1461768,100,1443469,132,1932970,190,1562447,102,1665861,92,1713720,19,2864581,75
Campo Mourão (PR),298195,84,448017,656,639638,56,852185,149,882587,162,565619,160,614075,119,862805,99,1139991,81,915446,95,859430,523,1252968,641,1274340,554,1480348,418,1779892,506,1731626,1038,1962132,1064,1928857,2518,2096645,2962,2011439,1585,3718355,1511
Astorga (PR),151922,20,196700,1,246184,1,401445,106,428608,306,308557,496,335527,482,402911,404,557340,17,526004,27,603114,31,769604,116,845142,152,913309,100,895846,107,1050968,66,1153317,107,1315198,228,1204808,590,1177911,824,1853278,903
Porecatu (PR),92980,12,158710,-,205362,-,323984,-,280945,-,175503,-,169935,-,266626,-,338858,-,267095,-,335077,-,390978,-,537672,13,490464,-,537193,-,656544,-,689250,-,707305,-,713313,-,700692,26,1280170,38
Floraí (PR),91467,9,143432,-,185916,-,296353,-,296236,-,208749,-,163022,-,236722,-,336841,-,279272,-,296411,-,425161,-,421748,-,461736,-,514097,9,534269,8,632965,14,579155,16,643371,30,586954,-,1028772,-
Maringá (PR),76010,37,106922,-,143739,30,200922,36,216302,30,142294,-,118988,-,183804,-,240776,-,242379,-,219236,-,301837,-,290298,-,329043,-,367912,-,385873,-,413468,163,444080,182,476263,551,463986,413,709669,395
Apucarana (PR),91155,-,104507,-,166156,-,262376,-,295322,-,211268,-,175333,-,315703,-,374579,-,232127,-,297106,-,413041,-,435621,601,464105,555,482976,696,539465,3370,483183,3916,618305,6960,617673,1246,599740,1088,935644,1750
Londrina (PR),108113,435,181278,25,270081,300,408257,384,409355,1110,262162,-,225911,-,449996,-,544813,-,426944,-,531813,-,560203,647,807675,977,767372,1287,785608,1350,897995,1400,767364,2250,970910,5345,955656,7380,975390,10864,1662425,12415
Faxinal (PR),54902,-,87570,8,111800,42,173016,43,194794,41,113274,30,118317,22,174529,77,228066,33,221812,162,211196,497,306907,907,311346,785,397319,1065,353794,1055,374355,735,386192,1050,392440,1254,422387,818,448347,665,665855,1081
Ivaiporã (PR),127770,296,193610,550,246855,407,400619,426,373873,59,251514,175,272411,149,329889,249,526442,93,427584,208,425156,161,563453,431,653379,392,777675,389,866191,230,769912,557,892081,552,799284,209,1034649,199,970990,286,1494682,373
Assaí (PR),56018,-,98824,-,146859,-,256148,-,283087,72,156632,120,138546,132,218396,141,379256,100,237622,149,235414,125,357493,172,413528,259,462293,153,374163,-,493182,-,513770,-,549281,-,624693,-,628011,77,914311,73
Cornélio Procópio (PR),166381,-,262772,-,344940,-,606845,-,637500,-,386634,-,315084,-,523431,-,817446,-,498644,7,676158,0,853466,-,921830,-,1086175,-,857943,-,1132816,32,1280843,10,1308372,-,1634864,-,1628710,-,2234602,-
Jacarezinho (PR),89360,112,129424,-,161789,-,222668,-,240976,-,157490,-,214386,-,230729,-,266855,-,235691,-,322415,-,395106,175,450318,346,512478,160,472079,188,552668,329,586500,168,447807,-,565100,-,599543,-,827900,-
Ibaiti (PR),27451,220,35320,184,44515,319,62262,315,98785,308,75540,9,79478,659,87487,653,150960,594,102727,703,116687,582,174821,473,177690,429,200481,488,211813,-,250542,668,300292,503,320294,612,306240,502,306244,521,325806,610
Wenceslau Braz (PR),42720,297,60157,-,81928,222,136871,351,149311,288,115507,-,106949,-,144502,-,284425,-,212582,-,197503,-,324018,474,336217,1171,443606,779,379322,348,442491,139,591646,50,470742,-,467670,-,466056,-,670365,-
Telêmaco Borba (PR),152666,-,218130,-,263091,-,459540,-,480179,-,396100,-,358427,-,534577,-,825403,-,591946,-,646700,-,844202,-,922612,-,1254456,-,1061763,-,1225899,-,1393602,-,1236176,-,1330991,-,1251255,-,1719630,-
Jaguariaíva (PR),67092,-,88492,-,137341,-,199322,-,227542,-,178294,-,212174,-,221712,-,367787,-,321198,-,272690,-,360498,-,424430,-,521695,-,500040,-,553702,-,650514,-,631239,-,592734,-,699854,-,988932,-
Ponta Grossa (PR),235747,-,333513,-,431964,-,631161,-,690494,-,526153,-,511933,-,825974,-,957975,-,722488,-,888476,-,1021361,-,1327568,-,1454612,-,1358487,-,1199577,-,1426995,-,1668285,-,1564229,39,1496733,40,1754694,20
Toledo (PR),425983,396,590445,6,857863,150,1462321,57,1105646,54,849903,33,738740,34,1351574,50,1759671,61,1082069,120,1723491,140,1968309,236,1634945,254,2724853,304,2692591,338,2602834,448,3541842,1129,2991442,724,3281634,1090,2937485,1126,5204533,1398
Cascavel (PR),328611,1392,397651,39,608636,1748,975670,1744,944614,1904,725598,-,629317,-,959142,-,1221841,-,802416,232,1093609,300,1314815,2854,1403704,2919,1962004,4283,2061932,3785,2041139,4326,2394035,4547,1995969,3195,2222646,2267,2290250,1415,3769372,1407
Foz do Iguaçu (PR),151536,1225,218972,1110,334400,1271,556294,1088,411665,1275,367958,1935,306914,1619,527962,1463,674030,1932,432088,1566,646110,1379,710570,1364,588159,1276,956461,1415,1034234,2923,1017541,2868,1396162,1750,1058270,1803,1253182,1606,1023777,1707,1519730,2530
Capanema (PR),118992,2351,136956,1198,177692,803,297769,856,266071,857,159314,1563,151192,2937,288455,2970,357576,109,272408,226,390146,180,386053,149,296869,155,514215,-,499375,-,509759,-,654833,-,557605,-,583757,-,532146,-,891743,-
Francisco Beltrão (PR),214494,2184,208906,1595,296857,2368,517780,2427,535109,2360,344296,2818,294925,3498,546042,3558,711522,3019,452620,4502,580789,3593,741720,2860,526416,2957,914207,4318,882763,3649,933886,6203,1132493,7155,1039186,7162,1046732,5726,961577,7719,1598679,9096
Pato Branco (PR),161468,72,152161,41,227637,87,405186,95,466542,99,238919,110,222344,116,364827,112,554752,110,467515,120,475697,121,639376,168,531746,210,888246,410,849667,473,897727,370,1306329,566,993284,720,1105869,831,1091732,774,1715089,925
Pitanga (PR),68029,1049,110713,1514,168894,1572,249639,1605,220163,1443,140013,21,187445,1541,225502,1416,312528,1727,251121,1818,211429,2121,297617,2617,285427,149,325667,739,435089,256,289000,72,470827,1088,408722,1061,508293,774,460817,779,737903,617
Guarapuava (PR),317240,3257,414414,2686,561951,3069,817257,2889,865510,2592,666218,4621,696571,4013,821277,4252,1242074,4388,1017421,44,901487,54,1245626,1092,1203263,2469,1807014,2927,1884547,488,1862490,3763,2438719,4054,2088793,8569,2336761,3066,2743668,2473,4081391,1803
Palmas (PR),94058,49,94362,40,141609,55,248808,71,264465,76,188504,91,171212,70,239571,101,358477,109,336467,163,306796,194,394689,191,404040,179,537078,235,591084,316,607606,356,746943,418,693662,455,808728,596,844952,620,1123703,763
Prudentópolis (PR),163259,637,209972,654,314289,569,457202,675,501705,535,430153,1150,413377,1129,490958,1221,782745,1233,610309,-,642029,-,816995,-,868435,-,1083657,-,1150816,-,1124742,-,1297089,-,1464118,-,1481541,-,1560180,-,2151398,-
Irati (PR),93089,106,106857,96,176412,49,243002,82,288841,90,287260,-,227211,-,260584,-,448968,-,252700,-,356620,-,442463,-,466855,198,592719,200,655559,200,713525,675,733766,3366,820374,2913,846967,2826,929184,3629,1116190,2913
União da Vitória (PR),62320,394,70206,311,107949,323,117936,409,145612,640,105132,649,161033,458,167358,532,217373,603,167756,889,184131,956,239150,900,238101,1031,316075,1183,328940,299,291464,405,349451,1653,348764,1568,396783,1593,384569,1453,463211,1738
São Mateus do Sul (PR),64259,111,86250,161,126658,231,171921,190,189614,190,194793,-,168430,-,196148,-,311368,-,225254,-,262573,30,285514,102,307247,114,407199,98,480161,340,494012,1080,508042,990,551811,990,580268,708,588636,1061,692210,1201
Cerro Azul (PR),15171,195,20534,184,21933,165,28555,142,32486,155,27600,142,37093,160,39495,121,50102,119,55512,138,55146,0,59717,-,59054,-,63219,-,100634,608,89262,327,111223,-,219605,272,175170,316,183044,307,211459,402
Lapa (PR),42033,19,58196,46,64353,46,115200,13,120593,15,103023,12,103693,6,115452,-,220792,-,124082,-,170241,-,178292,-,210110,-,301859,-,272478,-,312148,-,380697,-,338698,-,390937,-,422623,-,519270,-
Curitiba (PR),111084,3863,165085,6764,155949,7210,231009,5130,253140,5697,264752,4419,318095,4541,272740,7330,407937,4698,341670,4072,401245,4264,416221,7960,455999,10363,559924,526,581698,15368,626661,23171,766340,28393,735400,34749,739256,35094,851058,28498,933838,33403
Paranaguá (PR),3995,9,6039,-,6045,-,6833,-,8138,-,8321,-,9485,-,9706,-,12995,-,10398,-,14809,-,15245,-,15638,-,24326,81,16027,-,11107,-,17815,-,20644,43,18664,109,18468,181,26528,296
Rio Negro (PR),45088,186,52197,393,71317,413,126287,610,166158,729,192885,1064,190798,897,187961,1022,288597,622,233392,719,268017,694,268471,1145,336436,413,434142,616,399813,1100,476027,927,472898,1343,511977,1746,583867,1968,636186,2172,633285,2324
São Miguel do Oeste (SC),139220,-,137503,-,147502,-,252049,-,250800,-,197785,-,193971,-,234395,-,313340,-,255548,60,265023,-,329662,-,234201,840,403325,780,384795,3802,343032,581,458152,1806,443540,1545,395527,593,389072,967,503407,920
Chapecó (SC),238195,10,217913,-,271626,-,465310,75,467198,681,300498,294,330104,2042,421063,2747,559665,2139,457243,3437,469679,1961,571411,1116,392298,810,638549,818,641407,286,595313,247,766771,460,683507,395,710525,448,713349,578,948321,627
Xanxerê (SC),139262,11,143160,4,191653,-,354544,25,352511,68,243221,23,247539,220,344074,851,468602,1316,430096,239,373441,271,514136,325,379269,295,683920,275,649013,298,640754,309,839299,365,783018,256,923859,430,883140,282,1161846,250
Joaçaba (SC),93729,-,90925,-,107640,-,220845,-,224170,-,185080,-,166843,-,246950,-,398289,-,448332,-,461486,-,464479,-,447337,-,590155,-,611336,-,584672,-,959022,-,657638,-,724307,-,831978,-,956390,-
Concórdia (SC),60860,155,60661,154,59613,-,103704,1563,91338,3221,72976,3448,69138,3225,106498,3608,121847,2088,94103,1907,94326,1945,130612,2865,95824,2700,105641,2528,123710,2683,116443,2467,158997,2522,123345,2459,151718,3258,139483,2201,169928,1965
Canoinhas (SC),213482,23,206348,38,320102,45,460666,90,567345,150,517934,-,438861,60,610485,105,828966,180,825525,120,846989,135,866188,150,920374,195,1215198,228,1381950,120,1306957,96,1574292,144,1469281,48,1450169,60,1493745,102,1735034,151
São Bento do Sul (SC),10182,-,10634,-,18263,-,29340,-,36673,-,33252,-,27786,-,28140,-,44192,-,38917,-,35534,-,43532,-,47496,-,56887,-,64791,-,76742,-,84625,-,84361,-,89081,-,92492,-,106235,-
Joinville (SC),39955,68,42616,43,49988,-,106159,38,109289,225,75031,76,68183,171,61002,167,91482,238,94727,-,108079,-,84454,1200,116826,-,123179,-,135063,-,139233,-,143783,-,159789,-,140244,-,131822,-,160883,-
Curitibanos (SC),122429,-,135822,-,166797,-,228503,-,185141,-,149833,-,202561,-,233293,-,395943,-,321092,-,384460,-,390240,-,422316,-,551330,-,575310,-,578674,-,809573,-,681235,-,592609,-,749856,-,691860,-
Campos de Lages (SC),58683,1,71347,-,81251,-,115419,55,100079,-,100404,-,85175,40,126228,20,209087,33,154462,-,187624,-,227822,-,254130,-,342842,-,311946,-,426611,-,697822,-,481801,-,562657,-,622667,-,553639,-
Rio do Sul (SC),125829,1920,148752,2538,184426,1902,255028,4169,321262,2612,303578,2615,244681,3138,314628,9743,345553,6941,334442,1134,423110,9652,347895,10029,431140,10830,487770,11473,512376,13259,488412,10578,514931,13882,572223,13182,486697,4029,453369,3893,550778,4190
Blumenau (SC),38787,270,44194,338,35295,21,54027,141,72249,139,55378,198,45542,210,46370,244,57610,231,60864,199,58073,210,49377,219,65878,153,71056,311,84480,568,73853,470,90361,663,93087,451,60217,634,71758,909,74905,1009
Itajaí (SC),16092,9,17696,-,22400,-,48472,-,49124,-,37542,-,29613,-,27907,-,44935,788,33470,-,32678,-,31992,27,36863,-,49435,-,49707,-,50066,-,109719,-,61758,-,49778,-,52716,93,77555,135
Ituporanga (SC),114756,417,130529,598,145609,587,195980,1176,233959,508,225848,734,214972,832,293683,3092,313887,2670,295025,-,396579,2894,284988,3259,343332,3296,377877,3141,388791,3301,392105,2702,446335,3944,454455,4247,635365,1251,556748,1112,709882,2446
Tijucas (SC),27330,42,31156,162,40138,90,54141,695,61343,325,70775,350,54219,380,62352,840,76055,913,73540,-,83191,637,69264,675,81407,675,97825,675,101112,675,93546,525,95612,925,110885,795,124935,40,121180,60,142452,117
Florianópolis (SC),24512,2482,23789,1380,39051,2834,44837,3419,41952,2219,31046,1882,28802,2722,33381,2125,33053,1780,53818,-,35494,4333,34923,1682,31391,2136,37131,3632,38716,5440,51017,10479,55195,13870,46525,7350,32768,3295,32349,4715,44130,3949
Tabuleiro (SC),40495,250,43927,228,56452,145,72009,550,72568,550,68421,550,112948,545,68290,418,84463,732,105151,-,136733,-,113574,-,100152,-,97251,-,122669,-,140113,-,255917,-,146688,673,174461,1294,165895,1053,200150,1496
Tubarão (SC),93081,424,102177,558,135160,195,220568,1255,266750,992,231406,989,171618,1052,200119,809,255792,1132,301009,1295,234144,1260,229863,483,270745,815,355678,720,342711,864,313037,1121,355144,1454,426276,1328,327160,1923,346032,2311,502658,2245
Criciúma (SC),71369,-,79530,-,97771,-,159050,57,178409,95,160836,306,131672,370,126937,444,205554,444,219406,225,173721,24,153520,-,177063,432,199770,615,252506,807,221183,706,285013,420,273139,1382,265730,1900,279349,980,366230,1470
Araranguá (SC),115945,-,154185,-,204169,-,340247,-,341251,-,304295,-,235191,-,259622,-,363218,-,459816,-,361154,-,279345,-,339158,-,384086,-,425772,-,406466,-,444021,-,519587,-,457180,-,499195,969,742314,1764
Santa Rosa (RS),134988,2686,193972,2275,225148,2846,410944,3547,244265,3500,109117,3166,219912,3458,325784,2523,307831,2241,307459,2404,360671,2713,495151,3291,255972,2563,544090,3105,565879,5479,583203,4887,777622,4339,638347,4110,772332,2875,707933,3297,846027,2457
Três Passos (RS),166375,1589,219570,2156,232858,2466,402590,2347,292453,2481,152779,2464,220199,2420,351815,2320,329617,2082,329699,1980,422783,2044,507844,2098,325877,1816,646895,3090,661574,3895,627943,3837,772579,3975,704189,3266,770173,3057,950038,3669,982485,3509
Frederico Westphalen (RS),232947,3284,284656,3380,300953,3843,559235,4452,450394,5061,293338,4373,418543,4616,516706,5152,562783,5490,509323,5686,638820,6826,776360,6279,501208,7413,938323,6993,909015,8055,934948,5689,1161607,7877,999686,5318,1076753,6269,1175168,5996,1098649,6115
Erechim (RS),185528,835,226106,939,231233,806,484827,1200,411316,1433,161891,1780,310840,1846,479746,1379,522004,1935,421022,2383,504388,2826,651840,3152,459545,2749,725825,4825,833100,6177,835572,7288,1098819,7494,960800,8525,1081244,7953,1184041,7882,1157147,7212
Sananduva (RS),106740,493,147289,1137,146655,461,268969,558,213067,471,80107,541,175879,312,238929,244,313291,268,258741,452,345672,384,386796,496,347106,619,415856,676,512166,732,517980,904,675556,1070,568971,1239,711645,1222,721345,1324,695424,1280
Cerro Largo (RS),70811,2304,107489,2017,99347,2050,204349,3868,124408,3185,98055,2750,126515,2985,192760,1982,193571,2226,156395,1501,238306,2175,315360,3266,174760,2254,361967,3326,319143,3420,323705,2949,457379,2667,375587,2766,448964,2168,430444,3017,361204,2293
Santo Ângelo (RS),181575,1767,340341,1759,299398,2087,651139,2779,376756,3080,242625,3140,366062,2414,731830,2272,787699,2161,766431,2228,944135,3160,1202464,3488,528418,2950,1530323,3579,1473810,4281,1579472,3679,2296420,4038,1927564,3115,2420823,2479,2487393,2606,1991679,2536
Ijuí (RS),203195,1731,345796,1732,304940,1724,683551,1963,456672,1876,150092,1846,312169,2072,550417,1918,639865,1561,670264,1600,685670,1797,914606,2319,418410,1956,1154514,2288,1063798,3255,1262523,3076,1670910,4408,1408077,3018,1723165,2467,1612865,3130,1552068,2642
Carazinho (RS),241384,1533,372370,1284,357840,1177,682505,1133,558524,826,238429,1000,411172,930,565415,985,676965,976,662905,1498,766719,1798,909701,1876,480713,1477,1041788,2456,1066838,2369,1159316,2802,1544262,3226,1306243,4097,1629606,2279,1637013,1628,1550139,1965
Passo Fundo (RS),309771,830,432292,1173,559203,1218,868056,1839,681913,1617,237292,1935,554887,1569,709522,1986,892762,2057,852513,2833,906086,2747,1159731,2445,927804,1815,1392426,2979,1426772,3628,1663254,2603,1961596,3712,1769775,2796,1919201,2479,2006696,2278,1722677,2978
Cruz Alta (RS),221261,505,513294,772,461738,1746,993015,1668,720898,1375,270435,1313,488114,1818,694806,1633,989432,1723,1033736,1857,876746,2071,1308538,2761,769981,2822,1770516,2471,1674499,3204,1857838,2286,2430137,2435,2133184,2114,2770911,2244,2510374,2301,1834225,1657
Não-Me-Toque (RS),70246,98,129717,116,132717,216,235811,234,188290,222,82558,226,120674,214,170888,217,232922,256,232272,234,225681,270,300694,297,202679,362,418954,352,328509,396,416849,327,523866,422,452446,309,580839,351,508194,305,322505,286
Soledade (RS),43164,751,65917,562,84892,648,139058,898,142397,845,89534,923,142898,956,174746,1497,215409,1411,215244,1567,200233,1657,299451,1987,206321,1780,341259,2396,363562,2542,387361,2720,430321,3203,539247,2725,523762,2836,499404,2523,360750,2859
Guaporé (RS),81943,1136,111313,1175,164484,1972,218051,6335,207397,3309,112963,3995,199770,4478,235837,5305,312228,5061,290196,4683,253259,4035,373546,3180,250225,3277,417878,4067,403069,4304,455796,4423,555904,4731,484819,4548,543307,5090,463468,3748,386221,3870
Vacaria (RS),162397,383,237987,562,290780,522,474396,451,373600,424,312089,453,446122,221,495313,137,712428,177,660328,238,933862,182,823456,236,854584,416,1242481,473,1244531,536,1648146,494,2314243,746,1545532,677,1689121,738,2207196,480,2280020,446
Caxias do Sul (RS),104092,1002,131610,1454,170121,2004,151185,3063,124780,3124,102840,3313,126393,3639,134715,2964,153398,3019,165447,3610,166180,3076,168468,3749,143744,3814,238530,4758,218958,6334,247870,6654,340420,9164,187441,5802,227721,6116,279155,6164,253868,5822
Santiago (RS),118314,633,235229,646,246853,719,586480,751,411332,706,194456,695,358200,979,516484,842,713028,1206,704737,1208,673739,1188,904871,1555,555195,1211,1281389,1129,1382378,1350,1502271,1597,1735445,1805,1609839,1731,2009773,1644,1879827,1703,1562428,1292
Santa Maria (RS),138120,2378,191275,3673,259632,2195,395195,2162,436059,2302,251795,2533,345612,2564,425999,2281,531249,2587,537543,2863,498047,3400,589900,3602,611541,3360,955800,4875,1112842,3801,1178545,3993,1232061,4107,1267161,4009,1368895,3626,1413071,3671,1243676,4235
Restinga Seca (RS),118431,1735,125903,1862,180252,1460,242147,2079,292773,957,181840,1006,219798,1332,261485,1036,373248,1753,379417,2111,289461,2188,362277,2531,335563,2396,505567,4276,567383,3492,565908,4070,564036,4107,612264,4072,607735,4109,636085,3784,616902,3493
Santa Cruz do Sul (RS),297669,3676,448373,3268,553028,3839,748356,4483,867132,4832,683982,6180,820973,16032,912108,20203,1057158,17815,1065086,17936,1012188,18168,1331119,17243,1152597,26897,1555947,21820,1538816,26040,1560948,23905,1514086,18702,1786948,17377,1677397,17278,1683933,15866,1317810,13145
Lajeado-Estrela (RS),104927,2974,115990,2952,135731,3833,211891,5953,208558,4084,130339,4285,181514,5918,303018,8499,287178,7267,259387,6942,224414,7253,284445,7132,210158,7549,333305,7749,337027,11339,305674,12003,349242,12813,344835,10035,343041,9649,353880,9116,298896,8251
Cachoeira do Sul (RS),143050,967,217409,857,298072,995,418137,1087,480211,1161,350744,1472,366152,2086,457051,3088,585580,2753,593085,2804,528078,2736,670996,2572,648067,3568,993553,3636,1191917,4980,1195261,4589,1277384,4610,1349260,4500,1158467,4746,1198136,2086,861615,1711
Montenegro (RS),27511,1112,32708,1396,40872,1990,58203,2864,61669,2806,46971,2905,62613,4043,74897,4802,89859,4527,105383,5052,105397,4869,95325,3676,112318,3593,96839,3736,102949,4708,100550,4517,98001,5983,100934,4966,94185,5001,92711,4716,83397,5197
Gramado-Canela (RS),27169,1017,38571,1198,42768,1399,54215,1940,60794,1958,45299,2291,54274,1967,39081,1621,51204,2254,49249,1948,62796,2181,56014,2692,60361,3161,84529,3463,90468,4573,91986,4265,123989,6995,91469,6128,89964,4841,111972,5615,91541,5445
São Jerônimo (RS),67872,652,76546,458,107131,1385,189896,2476,267062,1574,213017,1127,180379,1495,215001,1130,252931,983,307520,824,208926,938,259268,1468,246154,1394,346466,2030,350390,2433,353169,3509,394054,5107,418660,2986,422060,2947,559374,2951,367725,2882
Porto Alegre (RS),64334,4216,71985,4285,94652,5402,161985,6373,189407,7815,144354,7683,151385,6428,168515,6744,240581,9644,262791,11950,250172,7440,223953,11609,299497,14685,347478,16689,439068,26637,415062,29514,502754,36750,433228,30167,423848,27319,486998,38607,523316,27888
Osório (RS),129235,329,162471,339,213813,367,329913,386,382351,399,290576,699,269105,608,287475,576,448289,731,436912,1210,429836,1029,346621,882,506454,1890,603561,2684,678573,4973,625559,4224,746798,6011,758644,6665,712327,6969,774935,10659,874235,9204
Camaquã (RS),157472,1342,196948,1399,268096,1776,408656,2635,490024,2912,300738,3201,310870,3381,363636,3125,515544,4785,564852,4853,501244,4561,485560,6156,646914,6338,750199,7754,846069,14419,968902,16309,1069404,27948,1100475,17850,905164,16029,1099360,21950,1101749,21789
Campanha Ocidental (RS),353701,1209,581069,1105,796483,1241,1115955,1628,1245848,2048,777312,1572,996346,2908,893942,4354,1459490,4508,1516638,3852,1470292,6005,1378158,4484,1491556,5321,2140290,7559,2268033,8312,2556590,4758,2578087,5523,2958808,4600,2971347,4252,2837253,4193,3489968,2667
Campanha Central (RS),101119,-,146346,-,205271,-,276463,-,344154,-,223733,-,232832,-,274549,-,444328,-,397418,-,401914,40,367485,431,388475,626,629621,616,711312,935,926235,834,908399,1226,1019381,1329,947090,984,851000,952,1049338,1025
Campanha Meridional (RS),84374,9,151483,20,189322,34,276777,18,361746,16,232722,21,200958,21,192982,23,325807,24,380556,25,342843,23,328670,22,395421,-,654374,-,688709,-,859022,-,801466,-,933445,-,901589,-,874333,-,959848,-
Serras de Sudeste (RS),38328,418,61947,684,85544,529,127609,764,131463,771,81849,1020,88075,1170,136339,755,145270,994,157210,1091,149996,1639,165625,1209,170654,2106,341634,2429,424812,2734,548213,5304,581333,5320,672342,4948,585076,4094,767931,4391,418475,2448
